,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Microsoft.Owin,84,39,44,51,338,79,10,14,19,6,18,0,22,7,0,31,0,77,0,7,0,13,0,14,97,10,20,14,14,13,39,4,1,2,0,5,0,2,0,5,0,11,0,9,0,0,0,0,3,6,3,8,0,0,0,4,0,0,161,125,14,17,2,1,24,7,0,0,1,0,0,0,0,0,47,8,0,0,7,0,12,0,1,0,0,41,0,17,0,3,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mono.Cecil,120530,29331,24395,26351,63275,26992,8069,6967,7878,1912,1152,521,29056,16594,4856,5689,259,8408,2236,3712,880,4320,2741,1754,16004,2682,4294,1672,5866,2081,8096,3024,1249,1059,178,310,23,603,67,3850,1153,1215,233,773,369,489,1100,1109,728,812,239,394,509,34,331,65,113,182,44322,16027,2351,2358,933,854,2366,962,256,720,242,5,40,368,248,59,11122,2731,424,118,2477,550,1800,74,1106,257,1342,5384,1498,965,250,886,535,1,120,5,62,5,218,749,102,166,56,198,202,98,68,455,103,4,113,1,5,15,35,12,7,49,1,2,17,1338,737,100,183,124,22,2,14,13,10,379,26,64,198,208,19,99,8,8,12,0,1,0,187,145,151,89,65,18,81,1,65,8,8,6,67,51,10,1112,755,204,0,3,104,9,8,261,41,292,82,0,4,0,0,22,1,8,14,51,74,54,235,58,11,130,0,5,26,5,1,0,0,7,17,23,94,79,9,55,11
Moq,24940,11992,1467,22279,56533,8669,328,5133,480,4372,928,37,9831,2684,353,4126,67,748,136,1821,33,412,96,259,13920,1315,988,82,2631,80,3120,307,312,82,45,418,8,90,4,401,35,382,16,77,14,24,17,0,718,378,22,27,30,7,8,6,4,0,25715,9452,755,292,453,28,1282,237,9,84,8,0,9,14,5,0,3110,583,35,24,516,137,559,14,94,33,114,921,126,519,6,124,27,3,35,3,4,1,27,111,2,6,3,41,14,4,17,40,0,0,7,2,0,5,4,0,1,4,0,1,0,41,0,5,1,0,3,0,4,0,3,23,6,1,78,16,0,4,0,0,0,0,0,0,5,2,0,3,0,0,0,0,13,1,0,0,1,0,0,123,31,2,0,3,11,0,0,26,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nancy,84528,14157,2477,31378,69077,10934,206,3020,510,1244,471,21,38957,686,2,5891,18,41,0,2241,75,111,0,280,23617,1274,496,81,415,0,9202,109,80,0,23,383,0,7,3,60,1,371,2,47,0,14,1,0,1121,266,7,4,3,4,0,0,1,0,192359,21795,582,15,255,12,1702,162,0,6,0,0,6,3,0,0,4368,1,0,21,379,4,125,0,2,0,97,608,1,122,1,2,0,0,13,0,0,0,0,28,0,0,0,17,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,7,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,83,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newtonsoft.Json,25173,18807,8403,18283,56689,8554,2603,5280,2605,2607,1004,349,24940,5235,1029,5620,71,1775,282,2676,347,900,493,1881,19957,2255,4701,969,2172,261,5609,1700,661,292,47,479,6,232,43,531,136,618,120,126,94,521,281,52,348,628,193,175,222,23,201,93,21,22,46576,12853,650,2388,715,431,2486,364,129,471,150,2,20,100,75,47,4263,674,63,76,928,40,581,17,51,6,290,2110,367,391,91,123,63,0,60,0,2,0,38,117,13,11,14,206,188,73,82,49,2,15,6,0,1,8,0,0,1,3,0,2,2,183,110,46,40,15,4,2,1,2,0,42,4,2,134,35,13,3,1,3,5,0,0,0,53,7,2,32,1,1,7,1,8,8,2,1,2,3,2,332,107,32,0,0,5,0,0,46,8,5,13,0,5,1,0,1,0,0,0,21,8,4,26,2,1,6,0,1,4,0,0,0,0,2,0,2,5,5,0,5,1
Nuget.Core,21099,5938,425,15198,66611,13104,31,4609,129,2995,1580,21,8272,162,16,2301,0,39,6,1603,1,0,1,60,13535,1143,543,63,292,1,4878,18,79,8,0,321,0,7,0,0,5,750,1,0,0,1,6,0,421,425,1,8,0,0,1,0,0,0,37668,16531,1038,23,720,6,2280,762,7,6,0,0,0,0,0,0,141,3,0,0,19,0,68,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUnit,17949,5569,1497,8145,9192,645,323,1181,150,325,1227,1,5355,1148,60,1905,1,604,299,412,36,302,36,216,9782,367,188,12,559,115,611,109,136,16,25,136,0,14,3,59,14,49,26,48,2,5,7,45,1700,75,9,3,10,0,1,1,0,1,49494,2938,39,70,28,4,128,34,0,7,0,0,0,2,1,1,12407,1668,72,60,750,92,775,8,195,1,1054,2011,215,303,216,259,40,0,33,0,2,0,299,41,31,25,0,99,11,0,17,9,6,0,0,0,0,15,0,0,1,0,0,0,0,97,3,3,11,0,1,1,39,8,0,32,19,2,40,10,24,2,0,0,0,0,2,0,50,2,0,9,0,6,0,0,17,1,0,0,6,0,3,724,156,6,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SpecFlow,16488,3309,1220,4574,13127,2665,17,632,49,471,165,2,1773,136,0,632,0,99,0,297,1,55,0,57,3075,176,205,58,199,0,761,27,11,0,0,69,0,15,0,53,0,97,0,12,0,2,0,0,130,39,2,0,1,0,0,0,0,0,3720,1573,108,26,23,3,248,47,4,18,0,0,0,2,0,0,149,0,0,0,79,15,19,0,0,0,2,82,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xunit,1761,114,227,660,1647,380,0,154,0,74,40,0,360,0,0,184,10,0,0,97,0,0,0,23,888,68,5,4,33,0,388,14,0,0,0,48,2,0,0,9,0,28,0,0,0,0,0,0,174,39,0,0,2,0,0,0,0,0,2010,839,76,0,64,0,147,49,0,1,0,1,0,3,0,0,70,0,0,10,13,0,8,0,0,0,0,63,0,21,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YamlDotNet,14803,2099,679,4412,8410,2475,205,531,165,393,299,7,672,133,23,467,0,30,8,169,8,53,69,295,4764,311,997,81,596,138,502,8,21,4,8,38,0,6,10,11,58,62,1,7,15,10,21,0,926,96,47,14,4,2,2,70,11,0,15048,3025,743,59,26,9,499,69,0,4,2,0,0,2,5,0,71,11,123,0,9,13,76,0,164,0,0,2,6,10,21,1,4,0,6,0,116,0,0,4,0,7,6,3,31,0,53,3,0,0,2,0,0,3,2,0,0,0,0,2,4,0,0,0,3,0,0,0,16,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,1,21,0,6,6,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0
canopy,6,1,0,2,0,9,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deedle,3005,1190,0,1559,6424,1596,0,766,0,624,325,0,2029,0,0,491,0,0,0,340,0,0,0,0,1866,223,0,0,0,0,1092,0,0,0,0,34,0,0,0,0,0,111,0,0,0,0,0,0,139,161,0,0,0,0,0,0,0,0,2822,1393,167,0,53,0,431,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foq,102,79,0,205,424,89,0,51,0,22,7,0,197,0,0,24,0,0,0,15,0,0,0,0,123,35,0,0,0,0,99,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,320,93,13,0,15,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FParsec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FsCheck,383,872,34,446,529,165,0,188,16,20,20,1,676,0,0,159,0,10,0,103,0,19,0,15,208,70,30,11,0,0,140,0,0,0,0,10,0,0,0,0,0,18,0,1,0,0,0,0,3,28,0,1,4,0,0,0,0,0,223,125,9,2,19,3,52,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSharp.Compiler.Service,6,5,0,1,5,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSharp.Core,520,683,55,811,5173,596,18,419,97,243,97,35,2897,116,0,566,0,109,0,266,0,84,4,32,3565,403,84,22,19,0,781,24,10,0,0,81,0,13,0,18,5,56,0,16,7,11,0,0,50,43,2,6,11,0,0,0,0,0,21347,5632,165,92,326,19,319,143,12,2,0,0,0,15,3,0,635,0,0,0,665,0,5,0,0,0,0,732,2,21,0,0,0,0,7,0,0,0,0,31,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSharp.Data,160,164,5,274,451,131,4,84,0,12,33,0,531,44,0,351,0,11,0,160,0,14,0,5,591,110,8,2,8,0,82,0,0,0,0,3,0,0,0,20,0,27,0,5,0,0,0,0,3,32,0,0,0,0,0,0,0,0,314,255,22,0,22,0,25,20,0,0,0,0,0,0,0,0,42,0,0,0,0,0,9,0,0,0,0,27,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSharp.Data.Twitter,42,12,26,6,14,21,0,3,0,2,1,0,30,0,0,11,0,0,0,15,0,0,0,3,3,0,3,10,0,0,9,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,18,15,15,0,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSharpx.Core,8,4,0,11,156,7,0,2,0,11,0,0,10,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
